caption,before,after(↓(-) as Negative visual)
a longhorn cow with horns standing in a field,0.04295172914862633,0.03458705237323201
two bulls standing next to each other,0.2800215780735016,0.26619051767139323
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
two bulls with horns standing next to each other,0.2347288280725479,0.20839996352634216
a couple of bulls standing next to each other,0.26615989208221436,0.27912633722739355
a couple of bulls standing next to each other,0.26615989208221436,0.27912633722739355
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
two long horn bulls standing next to each other,0.2300512045621872,0.22234478804409874
